Simulation,Format,Player,Wins
43,FFA_Round0,[Stud]Lovish,4.0
43,FFA_Round0,[HypE]RupeDogg,1.0
43,FFA_Round0,TM_8D,9.0
43,FFA_Round0,Darth_Revan,7.0
43,FFA_Round0,Blodir,2.0
44,FFA_Round0,NapoleonBlownapart,0.0
44,FFA_Round0,PRO_BCTV,3.0
44,FFA_Round0,StarDoM,5.0
44,FFA_Round0,[Stud]Lovish,6.0
44,FFA_Round0,[HypE]RupeDogg,2.0
44,FFA_Round0,TM_8D,3.0
44,FFA_Round0,Darth_Revan,9.0
44,FFA_Round0,Blodir,4.0
45,FFA_Round0,NapoleonBlownapart,1.0
45,FFA_Round0,PRO_BCTV,4.0
45,FFA_Round0,StarDoM,6.0
45,FFA_Round0,[Stud]Lovish,4.0
45,FFA_Round0,[HypE]RupeDogg,0.0
45,FFA_Round0,TM_8D,4.0
45,FFA_Round0,Darth_Revan,6.0
45,FFA_Round0,Blodir,7.0
46,FFA_Round0,NapoleonBlownapart,4.0
46,FFA_Round0,PRO_BCTV,6.0
46,FFA_Round0,StarDoM,2.0
46,FFA_Round0,[Stud]Lovish,4.0
46,FFA_Round0,[HypE]RupeDogg,3.0
46,FFA_Round0,TM_8D,1.0
46,FFA_Round0,Darth_Revan,6.0
46,FFA_Round0,Blodir,6.0
47,FFA_Round0,NapoleonBlownapart,3.0
47,FFA_Round0,PRO_BCTV,1.0
47,FFA_Round0,StarDoM,8.0
47,FFA_Round0,[Stud]Lovish,0.0
47,FFA_Round0,[HypE]RupeDogg,3.0
47,FFA_Round0,TM_8D,2.0
47,FFA_Round0,Darth_Revan,7.0
47,FFA_Round0,Blodir,8.0
48,FFA_Round0,NapoleonBlownapart,0.0
48,FFA_Round0,PRO_BCTV,4.0
48,FFA_Round0,StarDoM,4.0
48,FFA_Round0,[Stud]Lovish,4.0
48,FFA_Round0,[HypE]RupeDogg,6.0
48,FFA_Round0,TM_8D,6.0
48,FFA_Round0,Darth_Revan,5.0
48,FFA_Round0,Blodir,3.0
49,FFA_Round0,NapoleonBlownapart,1.0
49,FFA_Round0,PRO_BCTV,2.0
49,FFA_Round0,StarDoM,1.0
49,FFA_Round0,[Stud]Lovish,4.0
49,FFA_Round0,[HypE]RupeDogg,4.0
49,FFA_Round0,TM_8D,2.0
49,FFA_Round0,Darth_Revan,9.0
49,FFA_Round0,Blodir,9.0
